country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2k,17.7k,21k,23.5k,24k,25.1k,25.7k,26.7k,28k,27.9k,27.4k,28.4k,28.1k,27.6k,29k,29.7k,29.1k,29.1k,30.9k,30.5k,30.5k,31.1k,31.2k,27.2k,26.2k,26.8k,26.3k,27.8k,27.6k,28.4k,28.9k,30.3k,31.7k,31.8k,25.8k,30.3k
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,363,354,380,384,429,437,512,569,551,596,608,603,592,590,589,579,584,553,426
Angola,,,,,,,,,,,,,,,,,,,,,2660,2450,2360,2380,2430,2430,2410,2420,2490,2400,2250,2190,2000,1470,1450,1610,1770,1830,1860,1840,1830,1850,2030,2020,2170,2400,2590,2840,3050,2960,2990,2980,3120,3150,3190,3100,2910,2810,2680,2570,2350,2300
Albania,,,,,,,,,,,,,,,,,,,,,1740,1800,1820,1800,1740,1740,1800,1750,1690,1810,1610,1160,1090,1200,1310,1490,1630,1460,1600,1820,1960,2140,2250,2380,2520,2680,2850,3040,3300,3430,3580,3680,3740,3780,3860,3950,4090,4250,4430,4540,4410,4830
Andorra,,,,,,,,,,,43.3k,42.2k,42.6k,43k,42.6k,40.3k,39.2k,38.2k,36.8k,35.2k,34.4k,33.1k,32.1k,31.2k,30.5k,30k,29.8k,30.1k,30.3k,30.6k,30.6k,30.3k,29.6k,28.4k,28.1k,28.1k,28.8k,31.1k,31.9k,33k,33.9k,35.7k,35.7k,37.3k,38.7k,39.3k,41k,42.7k,41.5k,40.4k,40.9k,41.5k,39.2k,37.6k,38.4k,38.9k,39.9k,39.3k,39.3k,39.4k,34.4k,36.8k
UAE,,,,,,,,,,,,,,,,102k,105k,111k,95.9k,103k,114k,110k,96.7k,86.9k,85.5k,78.2k,62.4k,60.2k,54.8k,57.9k,64.6k,61.6k,60.5k,58.3k,59.5k,60.7k,60.8k,61.6k,58.1k,56.3k,59.1k,56.8k,55.3k,57.3k,60k,58.7k,56.3k,48.5k,42k,34.8k,33.3k,35.3k,36.6k,38k,39.2k,41.5k,43.5k,43.4k,43.6k,43.8k,41.3k,42.5k
Argentina,7410,7690,7500,6990,7570,8240,8060,8190,8450,9130,9260,9630,9630,9740,10.1k,9940,9580,10.1k,9480,10.3k,10.3k,9590,9370,9620,9620,8990,9400,9510,9260,8470,8140,8760,9330,9960,10.4k,9970,10.4k,11.1k,11.4k,10.9k,10.7k,10.1k,8900,9580,10.3k,11.1k,11.9k,12.9k,13.2k,12.3k,13.6k,14.2k,13.9k,14.1k,13.6k,13.8k,13.4k,13.6k,13.1k,12.7k,11.3k,12.4k
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1640,1430,840,792,855,928,990,1030,1120,1170,1250,1390,1580,1820,2020,2310,2640,3020,3250,2810,2890,3040,3280,3400,3540,3670,3690,3990,4220,4560,4260,4520
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8k,13k,13.1k,13.1k,12.7k,13k,12.8k,12.4k,12.5k,12.7k,12.2k,12.1k,12.5k,13.1k,13.1k,12.4k,13k,13.3k,14.3k,14.4k
Antigua and Barbuda,,,,,,,,,,,,,,,,,,5400,5620,6050,6510,6740,6720,7060,7780,8420,9440,10.1k,10.7k,11.3k,11.7k,11.9k,11.9k,12.3k,12.9k,12.1k,12.6k,13k,13.4k,13.6k,14.2k,13.4k,13.4k,14k,14.7k,15.4k,17.2k,18.5k,18.2k,15.8k,14.4k,13.9k,14.2k,14k,14.4k,14.9k,15.6k,16k,17k,17.7k,14k,14.7k
Australia,19.9k,20k,19.8k,20.6k,21.7k,22.5k,22.5k,23.6k,24.4k,25.6k,26.9k,27k,27.6k,27.9k,28.3k,28.3k,28.8k,29.5k,29.4k,30.2k,30.8k,31.3k,31.8k,30.7k,31.7k,32.9k,33.7k,34.1k,35.5k,36.2k,37k,36.4k,36.1k,37.2k,38.3k,39.4k,40.4k,41.6k,43k,44.7k,45.9k,46.2k,47.5k,48.5k,50k,50.9k,51.6k,52.6k,53.4k,53.3k,53.6k,54.1k,55.3k,55.7k,56.3k,56.7k,57.4k,57.7k,58.5k,58.9k,58.1k,59.3k
Austria,12.1k,12.6k,12.9k,13.4k,14.1k,14.5k,15.2k,15.5k,16.1k,17.1k,18.1k,18.9k,20k,20.9k,21.7k,21.6k,22.7k,23.8k,23.8k,25.1k,25.5k,25.4k,25.9k,26.7k,26.7k,27.4k,28k,28.4k,29.3k,30.3k,31.3k,32.1k,32.4k,32.3k,33k,33.8k,34.5k,35.2k,36.4k,37.7k,38.8k,39.2k,39.6k,39.8k,40.7k,41.3k,42.5k,43.9k,44.4k,42.7k,43.3k,44.5k,44.5k,44.3k,44.2k,44.2k,44.6k,45.3k,46.2k,46.6k,43.5k,45.2k
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2820,2760,2110,1600,1260,1100,1110,1160,1260,1340,1480,1610,1750,1920,2080,2630,3500,4330,4690,5020,5220,5150,5190,5430,5510,5500,5270,5230,5260,5350,5080,5340
Burundi,291,245,260,265,274,277,283,314,306,295,351,352,330,353,342,336,355,386,372,369,358,385,372,376,367,402,407,420,431,429,435,448,441,427,408,354,326,321,330,319,310,309,313,300,303,295,300,299,301,297,298,299,301,305,308,289,283,278,274,270,263,261
Belgium,11.7k,12.3k,12.9k,13.3k,14.1k,14.5k,14.8k,15.3k,15.9k,16.9k,17.8k,18.5k,19.4k,20.6k,21.5k,21k,22.1k,22.3k,22.9k,23.4k,24.4k,24.3k,24.5k,24.6k,25.2k,25.6k,26k,26.6k,27.8k,28.6k,29.4k,29.9k,30.2k,29.8k,30.7k,31.3k,31.7k,32.8k,33.4k,34.5k,35.7k,35.9k,36.4k,36.6k,37.8k,38.4k,39.1k,40.3k,40.2k,39k,39.8k,39.9k,40k,40k,40.4k,41k,41.3k,41.8k,42.4k,43.1k,40.6k,42.9k
Benin,657,668,634,653,684,707,718,712,725,731,731,704,734,744,752,698,688,705,696,722,751,803,798,742,778,813,807,771,774,729,771,779,778,788,774,804,818,840,847,865,889,908,922,926,938,924,932,960,977,971,963,963,980,1020,1050,1040,1050,1070,1110,1150,1160,1210
Burkina Faso,244,250,262,254,256,262,259,277,281,282,277,276,278,274,292,294,313,307,313,316,310,315,336,328,313,330,346,336,346,344,333,354,347,350,345,356,385,399,417,435,430,445,450,470,476,501,516,521,536,536,564,584,603,619,627,632,650,671,696,716,710,740
Bangladesh,441,455,465,450,484,477,475,452,481,473,487,455,386,388,415,389,402,403,422,432,425,444,441,446,455,458,466,473,474,477,493,500,518,532,542,560,575,590,609,625,646,666,679,699,723,759,800,847,890,927,968,1020,1070,1120,1170,1240,1310,1380,1460,1560,1590,1680
Bulgaria,,,,,,,,,,,,,,,,,,,,,3430,3580,3660,3770,3890,4000,4170,4410,4890,4780,4430,4090,3840,3810,3890,4020,4250,3680,3840,3540,3720,3940,4260,4520,4850,5230,5630,6050,6460,6290,6430,6610,6690,6690,6800,7070,7340,7600,7860,8230,7960,8630
Bahrain,,,,,,,,,,,,,,,,,,,,,21.3k,19.4k,17.3k,17.8k,18k,16.5k,16.2k,17.2k,17.8k,17.2k,17.4k,18.7k,19.3k,21k,20.3k,20.4k,20.6k,20.6k,20.9k,21.2k,21.7k,21.7k,21.9k,22.3k,22.3k,22k,21.8k,22k,21.9k,21.2k,21.5k,21.9k,22.5k,23k,23.1k,22.8k,22.8k,23k,23k,23.4k,22.5k,23.2k
Bahamas,19.2k,20.3k,21.3k,22.4k,23.7k,25.1k,26.2k,27.4k,28.4k,29.7k,27k,26.7k,25.1k,26.4k,21.5k,17.9k,18.5k,19.7k,22.1k,27.3k,28.5k,25.4k,26.6k,27k,30.3k,31.1k,31.1k,31.4k,31.5k,33k,31.9k,29.9k,28.2k,27.7k,28k,28.7k,29.3k,30.8k,28.9k,32k,32.8k,33.2k,33.7k,32.8k,32.6k,33.3k,33.7k,33.7k,32.4k,30.6k,30.7k,30.5k,31.1k,29.9k,30.2k,30.2k,29.7k,30.4k,30.7k,31.1k,23.6k,26.7k
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647,785,1420,1850,2100,2280,2550,2610,2740,2850,3060,3220,3420,3670,3930,3880,3980,4090,4130,4300,4400,4600,4800,5020,5260,5480,5370,5860
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2890,2850,2570,2370,2100,1890,1950,2180,2370,2460,2620,2750,2910,3140,3520,3880,4290,4680,5180,5200,5620,5940,6050,6110,6210,5970,5810,5960,6170,6260,6250,6420
Belize,1560,1590,1630,1660,1700,1730,1760,1790,1860,1900,1950,1990,2160,2240,2510,2560,2510,2620,2770,2910,3230,3190,3110,2970,2960,2920,2990,3230,3470,3840,4190,4570,5010,5220,5120,5020,4920,4930,4940,5200,5690,5800,5900,6260,6350,6300,6400,6420,6150,5960,5880,5740,5830,5960,6070,6140,6020,5810,5760,5910,5040,5730
Bermuda,37.9k,38.8k,39.5k,39k,42.3k,43.3k,48.6k,54k,54.1k,54.9k,57.3k,59.7k,61.2k,62.6k,63.6k,66.5k,72.2k,76.2k,77k,78.4k,83.2k,84.6k,79.6k,80.5k,80.2k,77.9k,82.4k,84.8k,87.5k,87.1k,86.4k,83.8k,84.4k,86.4k,86.4k,89.5k,91.3k,94.9k,97.9k,101k,109k,116k,113k,116k,118k,119k,125k,129k,126k,118k,116k,112k,106k,105k,101k,102k,102k,107k,107k,107k,99.7k,105k
Bolivia,1280,1280,1320,1380,1400,1440,1510,1570,1670,1710,1760,1810,1910,1970,1990,2090,2130,2190,2180,2140,2060,2020,1900,1790,1750,1680,1600,1610,1620,1650,1690,1740,1730,1770,1820,1870,1910,1970,2030,2000,2020,2020,2030,2050,2100,2150,2220,2280,2380,2410,2470,2560,2640,2780,2880,2980,3050,3140,3220,3240,2920,3060
Brazil,2580,2720,2810,2750,2760,2750,2850,2890,3100,3300,3560,3870,4220,4700,4960,5100,5490,5630,5770,6010,6420,6000,5910,5610,5790,6110,6430,6530,6400,6480,6090,6040,5910,6100,6360,6520,6570,6690,6610,6550,6750,6750,6870,6870,7180,7330,7530,7910,8230,8140,8670,8940,9030,9220,9180,8780,8430,8470,8550,8590,8200,8540
Barbados,,,,,,,,,,,,,,,11.6k,11.3k,11.8k,12.1k,12.7k,13.6k,14.1k,13.8k,13.1k,13.1k,13.5k,13.6k,14.3k,14.6k,15.1k,15.7k,15.2k,14.5k,13.7k,13.7k,14k,14.2k,14.8k,15.4k,16k,16k,16.7k,16.3k,16.3k,16.6k,16.8k,17.4k,18.4k,18.7k,18.7k,17.7k,17.2k,17.1k,17k,16.7k,16.6k,17k,17.4k,17.4k,17.2k,17.2k,14.9k,14.8k
Brunei,,,,,,,,,,,,,,,43.5k,42.2k,49k,52.6k,54.4k,64.5k,58.1k,45.1k,45.4k,44.1k,42.9k,40.8k,38.4k,37.8k,37k,35.4k,34.7k,34.8k,35.4k,34.6k,34.8k,35.5k,35.7k,34.4k,33.4k,33.7k,34k,34.2k,34.9k,35.2k,34.8k,34.3k,35.2k,34.7k,33.5k,32.5k,32.8k,33.6k,33.5k,32.3k,31.2k,30.7k,29.6k,29.7k,29.4k,30.3k,30.4k,29.7k
Bhutan,,,,,,,,,,,,,,,,,,,,,394,439,440,471,478,483,522,654,666,695,747,732,796,851,893,944,978,1010,1050,1110,1120,1180,1270,1340,1390,1460,1540,1800,1860,1960,2170,2320,2410,2440,2550,2700,2890,3000,3070,3220,2880,2980
Botswana,396,412,430,445,464,484,511,537,590,675,783,966,1180,1360,1410,1450,1520,1620,1760,1880,2000,2080,2250,2450,2570,2650,2770,3000,3460,3790,3930,4110,4110,4070,4100,4270,4410,4670,4590,4920,4920,4830,5030,5170,5220,5360,5700,5910,5980,5030,5430,5680,5570,6070,6290,5870,6170,6290,6420,6490,5810,6370
Central African Republic,584,602,569,554,554,548,540,553,548,574,574,568,557,557,581,572,594,610,611,590,558,543,579,526,570,585,599,562,563,560,531,512,464,451,459,478,447,458,467,470,446,455,461,426,442,436,448,460,460,488,501,514,535,338,339,352,362,372,378,381,375,371
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9k,34.9k,36.4k,37.9k,38.2k,38.9k,39.3k,40.1k,41k,41.6k,42.1k,42.1k,40.4k,41.2k,42k,42.3k,42.8k,43.6k,43.6k,43.5k,44.3k,44.9k,45.1k,42.3k,43.9k
Switzerland,,,,,,,,,,,,,,,,,,,,,59.9k,60.5k,59.4k,59.5k,61.1k,63k,63.9k,64.5k,66.1k,68.4k,70.1k,68.6k,67.8k,67.1k,67.4k,67.3k,67.3k,68.6k,70.5k,71.3k,73.7k,74.4k,73.8k,73.3k,74.7k,76.3k,78.9k,81.3k,82.5k,79.6k,81.3k,81.9k,82k,82.5k,83.4k,83.8k,84.6k,85k,86.8k,87.1k,84.4k,87.3k
Chile,3290,3390,3460,3590,3610,3570,3900,3970,4040,4130,4130,4450,4330,4050,4080,3500,3580,3890,4130,4410,4690,4930,4320,4050,4150,4260,4420,4630,4890,5290,5380,5710,6240,6550,6780,7280,7670,8130,8360,8240,8550,8720,8900,9230,9750,10.2k,10.7k,11.2k,11.5k,11.2k,11.8k,12.4k,13k,13.3k,13.4k,13.6k,13.6k,13.6k,13.9k,13.8k,12.8k,14.1k
China,238,175,164,176,204,233,250,230,215,244,284,295,299,315,316,337,327,347,381,405,431,447,480,524,596,667,716,787,861,884,905,975,1100,1240,1380,1520,1650,1790,1910,2040,2190,2360,2560,2800,3060,3390,3800,4320,4710,5130,5650,6150,6590,7060,7530,8020,8520,9050,9620,10.2k,10.4k,11.2k
Cote d'Ivoire,1480,1570,1530,1680,1900,1770,1900,1920,2070,2180,2310,2420,2420,2450,2440,2520,2730,2820,3020,2980,2550,2540,2460,2270,2140,2150,2150,2070,2020,2010,1910,1840,1770,1700,1650,1710,1780,1880,1900,1870,1810,1730,1640,1520,1530,1510,1520,1510,1550,1570,1640,1520,1600,1740,1860,1940,2030,2120,2210,2290,2280,2380
Cameroon,943,939,949,962,973,969,990,860,892,912,916,923,923,946,1020,1100,1010,1120,1330,1380,1300,1470,1550,1620,1690,1770,1830,1740,1550,1480,1350,1260,1180,1060,1050,1050,1060,1080,1110,1120,1140,1160,1180,1210,1260,1250,1260,1280,1280,1280,1280,1280,1310,1330,1370,1400,1420,1430,1450,1450,1420,1430
"Congo, Dem. Rep.",1250,1090,1290,1320,1250,1230,1280,1230,1240,1320,1280,1320,1290,1360,1360,1260,1160,1140,1050,1020,1010,1000,972,959,983,958,974,970,944,904,817,724,629,527,483,466,453,421,404,376,340,323,322,331,342,352,359,370,380,379,393,406,421,441,466,482,477,478,489,495,487,501
"Congo, Rep.",1190,1250,1290,1200,1210,1220,1200,1200,1250,1300,1350,1410,1480,1560,1630,1700,1680,1490,1550,1660,1910,2200,2660,2760,2880,2760,2490,2430,2400,2390,2350,2340,2330,2250,2060,2090,2120,2060,2100,1990,2060,2060,2100,2060,2060,2140,2230,2010,2060,2210,2330,2310,2470,2390,2490,2350,2050,1910,1770,1730,1590,1520
Colombia,1950,1990,2030,2030,2100,2110,2150,2180,2250,2330,2410,2490,2630,2740,2830,2840,2910,2960,3140,3240,3290,3290,3250,3220,3250,3280,3400,3510,3570,3620,3700,3690,3770,3890,4040,4170,4180,4250,4200,3950,4000,4010,4050,4140,4300,4450,4680,4940,5040,5040,5210,5510,5670,5900,6110,6230,6290,6280,6320,6400,5870,6420
Comoros,,,,,,,,,,,,,,,,,,,,,1210,1220,1260,1290,1310,1300,1290,1280,1270,1200,1230,1130,1200,1210,1120,1140,1100,1120,1110,1110,1200,1210,1210,1210,1210,1220,1230,1210,1240,1250,1270,1300,1310,1340,1340,1320,1340,1360,1380,1380,1350,1360
Cape Verde,,,,,,,,,,,,,,,,,,,,,543,580,588,635,650,697,708,729,763,796,787,781,845,896,1040,1160,1260,1370,1510,1640,1840,1850,1920,1970,2150,2270,2420,2750,2900,2830,2850,2920,2920,2910,2890,2890,2990,3070,3170,3320,2800,2970
Costa Rica,3560,3500,3560,3670,3680,3850,3990,4090,4310,4420,4620,4810,5070,5320,5470,5450,5600,5940,6140,6270,6150,5850,5280,5280,5550,5430,5580,5690,5740,5910,5970,5950,6340,6620,6750,6870,6800,7010,7360,7510,7650,7770,7900,8110,8340,8550,9040,9650,9970,9750,10.1k,10.5k,10.8k,11k,11.2k,11.5k,11.9k,12.3k,12.5k,12.7k,12.1k,12.9k
Cuba,,,,,,,,,,,2610,2780,2870,2930,2920,3160,3300,3570,3780,3800,3610,4300,4650,4870,5210,5250,5210,5040,5180,5160,4960,4400,3860,3270,3280,3350,3600,3690,3680,3900,4110,4230,4280,4430,4680,5190,5810,6230,6480,6570,6720,6900,7110,7290,7360,7680,7720,7870,8050,8040,7170,7290
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.2k,96.3k,93.2k,84k,79.5k,78.4k,77.5k,76.6k,76.9k,77.3k,78.1k,78.9k,80.6k,82.1k,76.1k,76.6k
Cyprus,,,,,,,,,,,,,,,,6170,7480,8710,9350,10.2k,10.7k,10.8k,11.3k,11.8k,12.7k,13.1k,13.5k,14.3k,15.3k,16.3k,17.1k,16.8k,17.9k,17.6k,18.3k,19.5k,19.4k,19.6k,20.6k,21.3k,22.4k,23k,23.6k,23.9k,24.8k,25.6k,26.4k,27.2k,27.4k,26.2k,26.1k,25.5k,24.3k,22.7k,22.6k,23.5k,24.9k,26.1k,27.2k,28.4k,26.8k,28.3k
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6k,10.3k,10.2k,10.2k,10.5k,11.2k,11.7k,11.7k,11.6k,11.8k,12.3k,12.7k,13k,13.4k,14.1k,15k,15.9k,16.7k,17k,16.2k,16.5k,16.8k,16.6k,16.6k,17k,17.8k,18.2k,19.1k,19.7k,20.2k,19k,20.1k
Germany,,,,,,,,,,,17.9k,18.4k,19.1k,20k,20.1k,20k,21.1k,21.9k,22.6k,23.5k,23.8k,23.9k,23.8k,24.2k,25k,25.6k,26.2k,26.5k,27.4k,28.3k,29.5k,30.8k,31.1k,30.6k,31.2k,31.6k,31.8k,32.3k,33k,33.6k,34.5k,35k,34.9k,34.6k,35k,35.3k,36.7k,37.8k,38.3k,36.2k,37.8k,40k,40.1k,40.1k,40.9k,41.1k,41.7k,42.6k,42.9k,43.3k,41.7k,42.7k
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2170,2280,2410,2540,2630,2710,2820,2810,2910
Dominica,,,,,,,,,,,,,,,,,,2930,3230,2620,2970,3290,3440,3540,3710,3780,4070,4350,4720,4740,5030,5120,5230,5340,5340,5500,5670,5800,6030,6080,6250,6270,6080,6450,6630,6670,6970,7410,7930,7840,7900,7880,7780,7710,8010,7720,7930,7370,7590,7940,6570,6960
Denmark,18.1k,19.1k,20.1k,20k,21.7k,22.5k,23k,24k,25.2k,26.7k,26.9k,27.5k,28.5k,29.5k,29k,28.5k,30.1k,30.6k,31.1k,32.3k,32.1k,31.9k,33.1k,33.9k,35.4k,36.8k,38.5k,38.6k,38.6k,38.8k,39.3k,39.7k,40.4k,40.3k,42.3k,43.3k,44.3k,45.6k,46.4k,47.6k,49.2k,49.5k,49.5k,49.6k,50.8k,51.8k,53.7k,53.9k,53.3k,50.5k,51.2k,51.6k,51.6k,51.8k,52.4k,53.3k,54.6k,55.7k,56.6k,57.2k,55.9k,58.4k
Dominican Republic,1370,1300,1470,1520,1570,1330,1470,1470,1430,1540,1770,1910,2060,2260,2340,2400,2500,2560,2550,2600,2750,2800,2790,2850,2830,2710,2750,2960,2960,3030,2800,2770,3020,3180,3200,3320,3450,3700,3880,4050,4180,4210,4340,4220,4270,4610,4970,5270,5370,5350,5720,5830,5910,6120,6470,6840,7210,7460,7890,8210,7570,8410
Algeria,2110,1790,1410,1870,1940,2030,1900,2030,2200,2330,2480,2150,2680,2720,2850,2890,2980,3020,3210,3340,3270,3260,3360,3420,3490,3500,3400,3270,3150,3210,3150,3040,3030,2900,2810,2860,2930,2910,3010,3070,3140,3190,3320,3510,3610,3770,3780,3850,3870,3870,3930,3970,4030,4060,4130,4200,4250,4220,4190,4150,3870,3940
Ecuador,2530,2580,2630,2610,2730,2730,2650,2690,2660,2710,2810,2900,2960,3280,3550,3830,4000,3960,4070,4110,4150,4270,4190,4070,4070,4120,4160,4050,4180,4130,4180,4260,4260,4260,4360,4370,4370,4480,4540,4250,4230,4320,4420,4460,4750,4910,5040,5060,5290,5240,5330,5660,5880,6080,6220,6130,5970,6010,5980,5860,5330,5490
Egypt,751,769,778,838,910,930,953,937,900,925,955,972,980,993,987,1050,1170,1240,1320,1340,1440,1500,1610,1650,1760,1810,1840,1860,1910,1950,2010,1990,2030,2040,2070,2120,2180,2250,2330,2420,2520,2550,2560,2590,2640,2700,2830,2970,3130,3210,3310,3290,3290,3280,3300,3370,3440,3520,3630,3770,3840,3900
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601,661,778,757,788,841,844,832,794,839,835,780,760,761,741,740,650,658,659,702,,,,,,,,,,
Spain,6220,6890,7500,8150,8500,8930,9480,9770,10.3k,11.1k,11.4k,11.8k,12.6k,13.5k,14.1k,14k,14.3k,14.6k,14.6k,14.5k,14.7k,14.6k,14.7k,14.9k,15.1k,15.4k,15.8k,16.7k,17.5k,18.3k,19k,19.4k,19.5k,19.2k,19.6k,20k,20.4k,21.1k,22k,22.8k,23.9k,24.7k,25k,25.3k,25.7k,26.1k,26.8k,27.2k,27k,25.8k,25.7k,25.4k,24.6k,24.4k,24.8k,25.8k,26.5k,27.2k,27.7k,28.1k,24.8k,26.1k
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7140,7600,8690,9160,9090,9960,10.6k,11.4k,12.4k,13.3k,14.6k,16.2k,17.5k,16.6k,14.2k,14.6k,15.7k,16.3k,16.6k,17.1k,17.4k,17.9k,19k,19.6k,20.3k,20.1k,21.7k
Ethiopia,,,,,,,,,,,,,,,,,,,,,,305,296,312,296,256,272,300,290,279,276,246,216,236,235,242,263,263,246,251,259,272,268,255,282,306,330,357,385,407,445,481,508,547,587,630,671,716,744,785,811,835
Finland,11.4k,12.2k,12.5k,12.8k,13.4k,14.1k,14.3k,14.6k,14.8k,16.3k,17.1k,17.5k,18.8k,19.9k,20.5k,20.8k,20.8k,20.8k,21.3k,22.8k,23.9k,24.1k,24.7k,25.4k,26k,26.9k,27.5k,28.4k,29.8k,31.2k,31.3k,29.3k,28.2k,27.8k,28.8k,29.9k,30.9k,32.8k,34.5k,35.9k,37.9k,38.8k,39.4k,40k,41.5k,42.5k,44.1k,46.2k,46.4k,42.4k,43.6k,44.5k,43.6k,43k,42.7k,42.8k,43.9k,45.2k,45.6k,46.1k,45.1k,46.3k
Fiji,2150,2160,2170,2230,2270,2150,2090,2310,2430,2440,2700,2830,2980,3280,3310,3270,3300,3420,3400,3720,3570,3710,3400,3190,3370,3140,3320,3050,3040,3230,3380,3270,3460,3530,3700,3790,3950,3820,3830,4120,4000,4040,4130,4130,4300,4290,4330,4260,4270,4190,4300,4400,4450,4650,4890,5110,5220,5500,5710,5680,4700,4440
France,11.2k,11.6k,12.3k,12.9k,13.6k,14.1k,14.7k,15.2k,15.8k,16.7k,17.6k,18.4k,19k,20.1k,20.8k,20.5k,21.3k,21.9k,22.7k,23.4k,23.6k,23.7k,24.2k,24.4k,24.6k,24.9k,25.3k,25.8k,26.9k,27.9k,28.6k,28.7k,29k,28.7k,29.2k,29.7k,30.1k,30.7k,31.6k,32.5k,33.6k,34k,34.1k,34.2k,34.9k,35.2k,35.8k,36.5k,36.4k,35.1k,35.6k,36.2k,36.2k,36.2k,36.4k,36.7k,37k,37.7k,38.3k,38.8k,35.7k,38k
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.7k,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,2410,2380,2380,2420,2470,2600,2640,2770,2680,2830,2730,2560,2630,2660,2780,2840,2850,2900,2820,2890,2910,2870,2830,2880,2950,3040,2970,2850,2770,2890,2910,2970,2960,2980,2910,2790
Gabon,3300,3750,3980,4170,4300,4590,4730,4850,4890,5180,5520,5960,6500,7010,9580,11.2k,14.8k,12.6k,9370,9180,9170,9390,8860,9110,9530,9060,8740,7050,7740,8170,8360,8630,8150,8250,8330,8520,8610,8880,8960,7960,7610,7570,7360,7320,7170,7160,6750,6940,6500,6300,6510,6740,6840,6980,7040,7090,7040,6890,6790,6890,6620,6580
