country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,18.3k,18.4k,21.8k,23.7k,26.1k,27.4k,28.1k,28.1k,28.2k,28.7k,29.7k,30.8k,33k,35.4k,39.7k,44.5k,46.3k,48.3k,50.8k,53.3k,55.5k,58.3k,62.1k,66.1k,68.6k,69.2k,70.8k,71.8k,77k,80.4k,84.8k,84.8k,90.8k,94.9k,96.8k,96.9k,,
UK,14.9k,15.2k,15.2k,15.9k,16.6k,16.9k,17k,17.4k,18.3k,18.6k,19.8k,20.4k,21.2k,22.5k,21.9k,21.6k,22.2k,22.8k,23.8k,24.6k,24.1k,23.9k,24.4k,25.4k,25.9k,27k,27.7k,29.2k,30.8k,31.5k,31.6k,31.2k,31.2k,31.9k,33.1k,33.8k,34.4k,35.8k,36.8k,37.8k,39.2k,39.9k,40.4k,41.5k,42.2k,43k,43.7k,44.4k,44k,41.7k,42.4k,42.5k,42.8k,43.3k,44.4k,45.1k,45.7k,46.5k,47k,47.5k,42.1k,45.1k
Georgia,,,,,,1800,1910,2010,2080,2160,2400,2430,2470,2610,2820,3000,3160,3360,3590,3820,3960,4140,4180,4330,4520,4700,4280,4300,4490,4160,3550,2780,1520,1070,970,1030,1190,1360,1440,1510,1570,1670,1770,1980,2110,2330,2560,2900,2980,2900,3100,3360,3600,3740,3900,4010,4130,4330,4540,4770,4450,4930
Ghana,1110,1110,1130,1150,1150,1140,1060,1070,1050,1090,1160,1190,1130,1130,1170,994,932,925,973,920,897,841,759,702,743,763,784,802,827,847,852,875,887,907,915,931,952,969,990,1010,1020,1030,1050,1080,1110,1140,1180,1200,1280,1310,1380,1530,1630,1710,1720,1710,1730,1830,1900,1980,1950,2010
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,522,526,544,551,555,547,547,557,562,572,581,598,609,618,621,635,658,651,653,659,653,682,693,669,684,705,728,739,747,756,817,878,911,938,959,973
Gambia,,,,,,,537,523,557,554,571,555,540,572,588,642,668,670,690,659,678,677,650,696,695,664,666,656,659,671,668,661,657,653,634,620,616,628,631,652,668,687,646,671,697,661,638,638,657,679,697,621,634,632,605,612,606,618,646,669,656,666
Guinea-Bissau,,,,,,,,,,,616,589,625,624,632,644,636,554,589,581,483,561,575,547,588,603,589,596,614,641,670,690,677,669,670,682,746,779,550,545,564,564,546,537,539,548,547,551,554,558,569,599,573,576,567,586,607,628,621,634,605,614
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,468,470,452,445,423,452,420,421,415,394,373,356,462,495,556,629,1010,2420,2890,3490,3940,6130,6990,7600,10k,11.2k,11.5k,12.7k,14.2k,13.7k,11.9k,12.2k,12.6k,11.6k,11.2k,9790,8590,7820,7080,6470,6030,5830
Greece,5030,5650,5640,6280,6850,7550,7980,8360,8910,9900,10.7k,11.5k,12.6k,13.6k,12.6k,13.3k,14k,14.2k,15.1k,15.4k,15.3k,15k,14.7k,14.5k,14.7k,15k,15k,14.6k,15.2k,15.7k,15.5k,15.8k,15.8k,15.5k,15.7k,15.9k,16.3k,17k,17.5k,18k,18.6k,19.3k,20k,21.1k,22.1k,22.2k,23.4k,24.1k,23.9k,22.8k,21.6k,19.4k,18.1k,17.8k,18k,18.1k,18.1k,18.3k,18.6k,19k,17.3k,18.9k
Grenada,,,,,,,,,,,,,,,,,,3060,3240,3440,3440,3480,3570,3640,3720,3900,4170,4560,4730,4940,5150,5180,5070,4920,4950,5020,5200,5420,6030,6400,6680,6510,6720,7320,7220,8120,7750,8170,8190,7600,7510,7510,7360,7460,7940,8380,8620,8930,9250,9250,7920,8220
Greenland,,,,,,,,,,,15.4k,17.1k,17.7k,18.7k,19.5k,19.6k,20.7k,22.7k,24.2k,25.2k,27k,26.8k,25.3k,25.9k,24.3k,24.9k,26.6k,27.7k,28.9k,30.5k,26.8k,26.8k,25.5k,24.3k,25.6k,26.4k,26.8k,27.1k,29.2k,29.6k,31.6k,31.9k,31.5k,32.8k,35k,36.7k,38.8k,39.9k,42.5k,42.9k,43.2k,43k,43.7k,43.3k,45.5k,44.5k,46.6k,46.6k,47k,47.9k,48k,
Guatemala,1850,1880,1890,2010,2040,2070,2130,2150,2280,2330,2400,2470,2590,2700,2810,2800,2940,3100,3180,3250,3290,3230,3030,2880,2810,2720,2650,2670,2700,2730,2730,2760,2820,2850,2900,2970,2980,3040,3120,3160,3200,3190,3240,3250,3280,3320,3430,3570,3620,3570,3610,3690,3730,3800,3900,3990,4030,4090,4160,4260,4120,4390
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5k,29.6k,31.4k,32.5k,31.3k,31.5k,32.1k,32.3k,33k,32.8k,33.4k,33.8k,34.3k,34.5k,34.5k,34.8k,34.5k,35.4k,31.2k,31.3k
Guyana,2720,2770,2720,2330,2530,2730,2820,2890,2880,3030,3120,3180,3040,3040,3240,3480,3500,3370,3280,3190,3230,3270,2840,2650,2530,2600,2590,2630,2550,2440,2390,2540,2730,2950,3190,3340,3600,3810,3740,3850,3790,3870,3910,3890,3950,3870,4080,4380,4480,4650,4870,5150,5420,5590,5660,5670,5850,6040,6130,6350,9130,10.9k
"Hong Kong, China",,3960,4330,4850,5140,5740,5790,5740,5810,6360,6780,7120,7730,8440,8370,8250,9470,10.4k,11.1k,11.7k,12.6k,13.4k,13.6k,14.2k,15.4k,15.4k,16.9k,18.9k,20.4k,20.6k,21.4k,22.4k,23.6k,24.6k,25.5k,25.6k,25.6k,26.6k,24.9k,25.2k,26.9k,26.9k,27.2k,28.1k,30.3k,32.4k,34.5k,36.4k,36.9k,35.9k,38.1k,39.7k,39.9k,41k,41.8k,42.4k,43.1k,44.4k,45.3k,44.2k,41.4k,44.5k
Honduras,1200,1180,1220,1220,1250,1330,1360,1400,1450,1420,1420,1440,1470,1540,1480,1470,1570,1680,1730,1770,1720,1650,1570,1540,1590,1630,1670,1730,1710,1710,1700,1600,1650,1710,1670,1720,1710,1740,1750,1690,1770,1770,1790,1820,1890,1950,2030,2110,2150,2050,2090,2120,2170,2190,2210,2260,2300,2370,2420,2450,2190,2430
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7230,7780,8310,8500,8480,8810,9430,9970,10.5k,11k,11.4k,12k,12.6k,12.8k,11.9k,11.8k,11.8k,11.6k,11.6k,11.6k,12k,12.5k,13k,13.5k,14.1k,12.9k,15.2k
Haiti,1710,1630,1730,1670,1610,1620,1580,1520,1540,1570,1550,1620,1600,1650,1720,1700,1810,1840,1920,2030,2130,2030,1920,1900,1870,1840,1790,1740,1710,1630,1610,1610,1490,1380,1200,1290,1320,1330,1330,1350,1330,1300,1290,1320,1280,1300,1300,1340,1350,1410,1310,1360,1350,1390,1390,1400,1410,1430,1430,1390,1320,1280
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7590,7360,7330,7550,7680,7700,7950,8280,8560,8970,9350,9830,10.3k,10.8k,11.3k,11.7k,11.8k,11.9k,11.2k,11.3k,11.6k,11.5k,11.7k,12.2k,12.7k,13k,13.6k,14.4k,15.1k,14.4k,15.5k
Indonesia,597,615,609,579,583,575,577,570,616,640,670,698,728,767,801,825,862,911,950,994,1070,1120,1120,1150,1200,1200,1250,1280,1330,1410,1480,1560,1630,1710,1810,1920,2040,2100,1800,1780,1850,1890,1940,2010,2080,2170,2260,2380,2490,2570,2700,2830,2960,3090,3200,3320,3450,3590,3740,3890,3780,3890
India,306,310,312,323,339,323,316,333,337,351,361,359,350,353,349,373,371,389,402,373,389,403,408,428,434,447,458,465,499,517,534,529,546,561,586,618,652,665,693,741,755,778,793,841,892,948,1010,1070,1090,1160,1240,1290,1340,1400,1490,1590,1700,1800,1890,1940,1800,1940
Ireland,,,,,,,,,,,12.2k,12.4k,13k,13.4k,13.8k,14.3k,14.3k,15.3k,16.1k,16.4k,16.7k,17.1k,17.3k,17.1k,17.8k,18.3k,18.2k,19.1k,20.1k,21.4k,23.2k,23.5k,24.1k,24.6k,26k,28.3k,30.2k,33.1k,35.7k,39k,42.1k,43.6k,45.4k,46k,48.3k,50k,51k,52.2k,48.9k,45.9k,46.4k,46.6k,46.4k,46.7k,50.4k,62.1k,62.6k,67.5k,72.3k,75.2k,79.1k,89k
Iran,2350,2520,2650,2750,2900,3300,3570,3860,4290,4820,5200,5740,6390,6680,6860,6640,7620,7190,6070,5170,3910,3510,4120,4420,3960,3890,3390,3280,2990,3080,3360,3650,3680,3600,3530,3560,3740,3740,3760,3770,3930,3950,4230,4550,4680,4750,4910,5230,5170,5160,5380,5450,5180,5030,5180,4990,5330,5400,5210,5020,5140,5340
Iraq,,,,,,,,,1280,1280,1290,1310,1320,1330,1490,1620,1840,1820,2060,2410,2910,2800,2820,2380,2270,2250,2300,2440,2390,2250,3510,1250,1610,2000,1980,1950,2100,2460,3220,3660,4140,4080,3630,2230,3320,3280,3440,3530,3750,3740,3850,4000,4360,4480,4330,4420,4900,4700,4710,4850,4200,4220
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.2k,35.6k,37.3k,39.6k,40.7k,42.2k,43.3k,43.1k,43.8k,46.8k,48.9k,50.7k,53.6k,53.8k,49.5k,48.2k,48.9k,49.2k,50.9k,51.2k,53k,55.5k,56.5k,57.7k,57.8k,53k,54.4k
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.9k,26.7k,27k,27.5k,27.7k,29.3k,28.7k,28.1k,28k,28.8k,29.5k,30.6k,31.9k,32.3k,31.9k,33k,34.2k,34.5k,35.3k,36k,36.2k,37.1k,38k,38.7k,39.6k,38.2k,40.8k
Italy,9690,10.4k,11k,11.5k,11.7k,12k,12.6k,13.5k,14.2k,15k,15.7k,15.9k,16.4k,17.5k,18.3k,17.8k,19k,19.4k,20k,21.1k,21.8k,22k,22k,22.3k,23k,23.6k,24.3k,25.1k,26.1k,27k,27.5k,27.9k,28.1k,27.9k,28.4k,29.3k,29.6k,30.2k,30.7k,31.2k,32.4k,33k,33k,32.9k,33.2k,33.3k,33.8k,34.1k,33.5k,31.6k,32.1k,32.2k,31.2k,30.3k,30k,30.2k,30.7k,31.2k,31.6k,32.1k,29.4k,31.5k
Jamaica,,,,,,,3970,3990,4170,4350,4810,4860,5650,5260,4960,4880,4490,4320,4260,4170,3880,3920,3940,3960,3840,3680,3710,3970,4100,4360,4500,4680,4730,5120,5140,5210,5160,5050,4890,4910,4920,4960,5040,5200,5240,5260,5390,5440,5380,5120,5030,5090,5030,5040,5050,5080,5130,5170,5260,5310,4770,4970
Jordan,,,,,,,,,,,,,,,,,2950,3090,3440,4020,4310,4860,4980,4660,4650,4320,4360,4260,4130,3510,3330,3210,3490,3450,3450,3520,3480,3500,3520,3560,3640,3750,3880,3950,4180,4410,4450,4520,4730,4860,4870,4870,4920,4730,4350,4060,3950,3950,3930,3920,3770,3780
Japan,6260,6950,7500,8060,8900,9320,10.2k,11.2k,12.5k,13.9k,14.1k,14.5k,15.5k,16.5k,16k,16.3k,16.8k,17.4k,18.1k,19k,19.3k,20k,20.5k,21.1k,21.9k,22.9k,23.5k,24.5k,26k,27.2k,28.4k,29.3k,29.5k,29.2k,29.5k,30.2k,31k,31.3k,30.8k,30.6k,31.4k,31.5k,31.4k,31.8k,32.5k,33.1k,33.5k,34k,33.6k,31.7k,32.9k,33k,33.5k,34.2k,34.4k,35k,35.2k,35.9k,36.1k,36.1k,34.6k,35.3k
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5830,5160,4890,4450,3950,3700,3780,3900,3890,4040,4450,5060,5550,6050,6580,7160,7840,8440,8550,8490,8980,9510,9820,10.3k,10.5k,10.5k,10.5k,10.8k,11.1k,11.4k,11k,11.3k
Kenya,787,699,737,770,777,762,840,834,866,898,824,971,1100,1120,1130,1100,1090,1150,1190,1240,1260,1260,1240,1210,1180,1190,1230,1260,1290,1300,1310,1290,1240,1210,1210,1230,1240,1210,1220,1220,1190,1200,1170,1170,1190,1220,1260,1310,1270,1280,1340,1370,1400,1420,1460,1500,1530,1550,1600,1650,1620,1700
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,1020,1040,1150,1160,1200,1090,928,785,627,587,620,671,675,689,718,749,742,786,831,821,837,900,966,982,966,1010,994,1080,1100,1120,1150,1180,1200,1230,1100,1120
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564,354,379,392,399,409,452,488,518,543,578,627,698,760,823,863,851,889,938,992,1050,1110,1170,1240,1300,1380,1470,1400,1430
Kiribati,,,,,,,,,,,1780,1710,1880,2240,3230,3420,2520,2420,2460,2160,1780,1750,1730,1650,1650,1550,1530,1500,1600,1510,1460,1440,1420,1410,1420,1400,1400,1400,1460,1410,1480,1430,1450,1450,1400,1440,1410,1410,1360,1340,1300,1300,1350,1380,1350,1460,1430,1400,1460,1420,1390,1390
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,4440,4630,5000,5440,5550,5600,5690,6230,6800,7580,8130,8940,9510,10.1k,9900,10.2k,10.8k,11.2k,11.7k,12.2k,12.8k,12.6k,12.8k,13.9k,14.5k,14.6k,14k,14.5k,15.9k,16.3k,16.4k,18.1k,17.5k,17.4k,17.7k,17.5k,18.5k,19.9k,20k,20.8k,20.8k,21.3k,22.1k,18.9k,18.8k
South Korea,1030,1070,1080,1140,1220,1270,1390,1480,1640,1840,1980,2140,2250,2550,2740,2910,3240,3580,3910,4190,4060,4280,4570,5100,5570,5950,6560,7320,8120,8610,9370,10.3k,10.8k,11.4k,12.4k,13.4k,14.3k,15.1k,14.2k,15.7k,17k,17.7k,18.9k,19.4k,20.4k,21.2k,22.2k,23.4k,23.9k,23.9k,25.5k,26.2k,26.7k,27.4k,28.1k,28.7k,29.5k,30.3k,31.1k,31.6k,31.4k,32.7k
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2620,2730,2840,3000,3020,3160,3280,3520,3740,3890,4010,4220,3990,4430
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6k,29.6k,32.4k,33.7k,32.9k,32.6k,32.7k,31.2k,31.7k,30.8k,30.9k,35.3k,38k,40.5k,41.2k,41.1k,39.9k,35.1k,32.6k,33.4k,33k,31.1k,30.3k,29.3k,29.1k,27.2k,26.7k,25.8k,23.9k,
Lao,,,,,,,,,,,,,,,,,,,,,,,,,580,592,604,579,551,611,634,643,660,681,718,750,783,819,836,882,917,954,995,1040,1090,1150,1230,1300,1380,1470,1570,1670,1780,1890,2010,2130,2240,2360,2470,2560,2540,2570
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3930,2220,2750,4030,4600,5000,5300,5540,6060,6010,6120,5990,5970,6100,6230,6350,6670,6750,6740,7230,7760,8450,9040,9030,9020,8540,7920,7800,8100,8360,8440,8070,6470,6100
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763,763,771,534,542,545,557,580,597,609,628,653,681,724,714,700,675,679,673,644,612,630
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11k,11.2k,10.7k,10.4k,11.4k,11.6k,12.7k,13.2k,13.7k,13.4k,12.6k,12.9k,6730,13.3k,10.7k,8060,7870,7640,9970,10.6k,9280,6970,9040
St. Lucia,,,,,,,,,,,,,,,,,,4210,4560,4650,4470,4660,4670,4820,5080,5420,6100,6250,7020,7560,8190,8110,8630,8550,8580,8620,8780,8640,9100,9260,9190,8820,8790,9090,9680,9580,10.1k,10.2k,10.6k,10.3k,10.4k,10.9k,10.8k,10.4k,10.5k,10.3k,10.6k,10.9k,11.2k,11.1k,8360,9360
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168k,,,,,,
Sri Lanka,,646,655,656,666,666,683,710,734,772,785,779,760,799,814,848,860,887,921,963,1000,1040,1070,1110,1150,1190,1220,1220,1240,1250,1310,1360,1400,1480,1550,1620,1670,1770,1840,1910,2010,1970,2030,2130,2230,2350,2510,2660,2800,2880,3090,3330,3610,3730,3930,4060,4220,4440,4500,4460,4280,4380
Lesotho,262,259,290,311,326,323,312,334,321,315,310,315,304,371,398,332,357,422,486,486,460,450,457,454,466,465,474,467,497,516,537,565,595,607,635,648,676,695,701,702,727,753,759,795,812,844,879,913,958,939,982,1020,1080,1080,1090,1110,1140,1090,1080,1070,972,974
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4940,5230,5710,6180,6150,6420,6900,7420,8280,8920,9770,10.7k,12k,12.4k,10.7k,11.1k,12k,12.7k,13.3k,13.9k,14.3k,14.8k,15.7k,16.4k,17.2k,17.2k,18.2k
Luxembourg,25.5k,26.3k,26.3k,26.9k,28.7k,28.2k,28.3k,28.2k,29.4k,32.1k,35.5k,36.1k,38k,40.7k,41.9k,38.7k,39.5k,40.1k,41.6k,42.5k,42.7k,42.3k,42.8k,44.1k,46.7k,47.9k,52.5k,54.2k,58.4k,63.5k,66k,70.8k,71.1k,73.1k,74.9k,74.9k,74.9k,78k,82.2k,87.7k,92.5k,94.2k,96.3k,97.6k,100k,101k,106k,112k,110k,105k,107k,105k,104k,105k,106k,105k,108k,107k,106k,107k,104k,108k
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4970,5160,5670,6080,6300,6730,7240,7850,8590,9410,10.5k,11.9k,13.2k,12.9k,11.2k,11k,11.5k,12.4k,12.8k,13.2k,13.8k,14.2k,14.8k,15.6k,16.1k,15.8k,16.6k
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,22.8k,24.2k,25.3k,24.5k,25.1k,27.6k,28.6k,28.8k,30k,30.1k,33.1k,34.1k,34.8k,35.2k,34.4k,33.7k,31.6k,30.4k,31.7k,32k,34.1k,37k,45.6k,47.9k,52.9k,59k,59.4k,58.6k,71.5k,84.8k,90.8k,98.8k,95k,73.2k,71.4k,77.1k,80.5k,77k,34.6k,40.6k
Morocco,,,,,,,729,781,835,881,898,924,923,933,961,1010,1090,1130,1120,1150,1160,1110,1170,1160,1200,1250,1330,1300,1430,1440,1470,1550,1490,1460,1590,1480,1640,1590,1680,1670,1680,1780,1810,1890,1960,2000,2120,2170,2260,2330,2390,2480,2520,2590,3050,3140,3120,3230,3300,3360,3080,3290
Monaco,,,,,,,,,,,72.7k,75.5k,78.1k,82.5k,85.7k,84k,86.4k,88.3k,90.7k,92.9k,93.7k,93.8k,95.1k,94.8k,94.8k,95.1k,96.2k,97.5k,101k,104k,106k,106k,107k,105k,107k,108k,109k,110k,113k,116k,120k,123k,125k,126k,130k,133k,141k,162k,163k,142k,142k,148k,147k,157k,165k,170k,175k,169k,179k,191k,167k,204k
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1420,1450,1350,1310,1340,1420,1540,1640,1770,1910,2000,2070,2230,2100,2250,2390,2370,2590,2720,2730,2880,3070,3260,3440,3220,3690
Madagascar,818,814,811,783,793,769,764,784,815,822,841,848,812,767,759,746,702,697,659,703,690,604,576,566,560,551,546,537,540,546,546,497,488,483,468,461,456,458,461,468,474,488,415,442,452,460,471,483,501,467,457,451,452,450,453,456,462,468,470,479,434,442
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5450,5750,6120,6460,6750,6900,6520,6880,7690,8020,6860,8450,8800,9300,8320,8620,9040,8950,9290,9580,9430,9620,9920,10.3k,10.8k,7010,9810
Mexico,3900,3960,4020,4200,4550,4710,4830,4950,5240,5250,5420,5450,5710,5970,6130,6290,6380,6400,6770,7220,7680,8150,7950,7520,7630,7650,7280,7280,7250,7420,7660,7830,7950,7950,8190,7530,7900,8290,8580,8670,8950,8780,8650,8640,8850,8930,9200,9290,9280,8680,9000,9200,9400,9400,9550,9750,9900,10000,10.1k,10k,9150,9530
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,2400,2420,2680,2680,2410,2890,3040,3160,3010,3020,2960,3110,3230,3360,3580,3160,2910,2840,2770,2790,2970,3070,3020,3070,3130,3140,3260,3020,3140,3330,3340,3350,3530,3550,3700,3860,4090,4370,4980,5040,5260
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3570,3360,3170,2960,2930,2900,2920,2950,3040,3150,3280,3170,3240,3300,3450,3600,3780,4020,4230,4210,4340,4430,4410,4530,4690,4860,4990,5040,5180,5390,5070,5290
Mali,,,,,,,,340,348,344,359,363,378,366,355,389,434,453,438,473,443,441,399,398,389,458,463,454,480,491,469,514,488,493,501,495,518,532,558,574,557,623,623,658,647,667,675,676,685,695,709,708,682,678,703,724,742,756,768,779,746,745
Malta,,,,,,,,,,,3140,3210,3400,3550,3900,4630,5400,6030,6630,7250,7680,7880,7890,7730,7800,7870,8040,8310,8930,9570,10.1k,10.4k,10.8k,11.2k,11.7k,12.3k,12.7k,13.3k,13.9k,14.5k,17.2k,16.9k,17.2k,17.7k,17.7k,18.1k,18.5k,19.3k,19.9k,19.6k,20.6k,20.6k,21.2k,22.1k,23.3k,24.9k,25.2k,27.2k,27.9k,28.4k,25.4k,27.9k
Myanmar,,145,145,154,156,156,156,144,145,152,154,158,159,157,157,162,167,173,180,187,196,206,214,220,226,230,228,218,198,187,190,189,195,207,219,231,244,255,267,286,318,354,391,438,494,556,625,698,771,846,925,986,1040,1110,1200,1220,1340,1410,1490,1580,1620,1320
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4490,4720,4290,4430,4460,4530,4620,4820,5010,5440,5800,6210,5830,5980,6170,6000,6200,6310,6520,6710,7020,7380,7680,6520,7350
Mongolia,,,,,,,,,,,,,,,,,,,,,,1430,1510,1560,1610,1660,1770,1790,1830,1860,1770,1590,1420,1350,1360,1430,1450,1490,1520,1550,1560,1590,1650,1750,1920,2040,2200,2400,2590,2520,2650,3060,3370,3700,3910,3920,3890,4020,4240,4390,4110,4110
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8k,21.6k,21.7k,19.8k,19.2k,18.8k,17.6k,15.2k,16.3k,15.5k,15.7k,16.2k,17k,17.7k,23k,28.5k,23.2k,20.8k,,
Mozambique,,,,,,,,,,,,,,,,,,,,,247,254,231,191,175,173,166,190,205,216,215,221,204,219,223,218,235,254,273,297,294,321,342,356,374,389,416,437,457,473,489,511,531,551,574,594,598,601,604,600,576,573
Mauritania,,1240,1210,1150,1430,1610,1570,1580,1690,1660,1800,1780,1720,1590,1730,1590,1680,1600,1550,1570,1580,1590,1510,1520,1420,1420,1460,1450,1430,1460,1400,1380,1360,1380,1290,1380,1430,1340,1340,1350,1270,1220,1220,1270,1300,1380,1600,1530,1490,1450,1450,1460,1480,1500,1520,1560,1540,1600,1630,1670,1610,1610
Mauritius,,,,,,,,,,,,,,,,,2410,2520,2590,2630,2330,2430,2530,2520,2610,2770,3010,3260,3450,3580,3810,3940,4140,4300,4410,4560,4770,4980,5220,5290,5670,5810,5870,6170,6400,6470,6760,7110,7470,7690,8010,8320,8590,8860,9180,9510,9870,10.2k,10.7k,11k,9360,9700
Malawi,181,190,187,180,180,199,220,231,221,228,224,253,262,261,273,281,287,291,309,311,300,273,269,268,272,274,263,255,249,241,245,259,233,252,229,268,282,287,292,294,292,271,269,277,285,286,291,310,325,342,355,361,358,366,376,376,375,380,386,396,389,389
Malaysia,1290,1340,1390,1440,1480,1550,1620,1640,1730,1770,1830,1970,2100,2300,2430,2390,2600,2730,2830,3020,3160,3290,3400,3520,3690,3550,3490,3560,3800,4020,4260,4540,4800,5140,5450,5830,6240,6520,5880,6090,6460,6330,6510,6720,7000,7210,7440,7740,7950,7680,8100,8390,8710,8980,9370,9700,9980,10.4k,10.8k,11.1k,10.4k,10.6k
Namibia,,,,,,,,,,,,,,,,,,,,,3560,3560,3480,3320,3230,3150,3200,3200,3120,2980,2860,2990,3100,2960,2910,2940,2950,3000,3020,3050,3080,3060,3150,3240,3590,3630,3850,4000,4050,4010,4190,4330,4480,4650,4850,4970,4880,4750,4710,4600,4160,4200
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.4k,,,,,,
Niger,744,755,808,859,835,867,839,816,797,732,734,755,697,563,596,564,553,579,638,664,628,608,602,562,453,474,489,475,492,482,461,445,440,428,422,418,405,398,423,408,389,403,409,403,390,404,413,411,427,419,438,432,460,466,479,481,489,495,511,521,520,508
