country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Nigeria,1460,1430,1460,1550,1590,1640,1530,1270,1220,1490,1820,2030,2050,2110,2290,2110,2230,2300,2100,2180,2200,1860,1680,1460,1410,1450,1410,1420,1490,1480,1610,1570,1610,1530,1470,1430,1450,1460,1460,1430,1460,1510,1690,1770,1880,1950,2010,2090,2170,2280,2400,2460,2490,2590,2680,2680,2570,2530,2510,2510,2400,2430
Nicaragua,1670,1740,1870,2010,2180,2310,2320,2400,2360,2420,2380,2380,2360,2430,2690,2610,2660,2790,2500,1790,1820,1870,1800,1840,1760,1650,1600,1550,1320,1270,1240,1210,1190,1160,1170,1210,1270,1290,1320,1390,1430,1450,1440,1460,1520,1570,1610,1670,1700,1620,1670,1750,1840,1900,1960,2030,2090,2150,2050,1950,1890,2050
Netherlands,14.3k,14.1k,14.9k,15.2k,16.3k,17.4k,17.7k,18.4k,19.4k,20.4k,21.4k,22k,22.6k,23.6k,24.2k,24k,24.9k,25.4k,25.9k,26.2k,26.4k,26k,25.5k,26k,26.7k,27.2k,27.8k,28.2k,29k,30.1k,31.1k,31.6k,31.9k,32.1k,32.8k,33.7k,34.7k,36k,37.5k,39.1k,40.5k,41.1k,40.9k,40.8k,41.5k,42.2k,43.6k,45.1k,45.9k,44k,44.4k,44.9k,44.2k,44.1k,44.5k,45.2k,45.9k,47k,47.8k,48.4k,46.3k,48.3k
Curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5k,22.2k,22.2k,21.8k,21.5k,21.1k,20.9k,21k,21.2k,21k,20.7k,20.5k,20.4k,20k,19.5k,19.3k,18.9k,18.5k,18.2k,17.8k,14.7k,15.6k
Norway,19.1k,20.2k,20.6k,21.2k,22.1k,23.1k,23.8k,25k,25.4k,26.3k,26.6k,27.9k,29.2k,30.3k,31.3k,32.7k,34.4k,35.7k,36.9k,38.4k,40.1k,40.6k,40.5k,42k,44.4k,46.7k,48.4k,49.1k,48.7k,49k,49.7k,51k,52.6k,53.7k,56.1k,58.2k,60.8k,63.6k,64.9k,65.8k,67.4k,68.5k,69.1k,69.3k,71.7k,73k,74.2k,75.6k,75k,72.8k,72.4k,72.2k,73.2k,73k,73.7k,74.4k,74.5k,75.6k,76k,76k,75k,77.5k
Nepal,326,326,325,325,343,331,347,335,330,337,339,327,330,322,335,332,340,342,349,349,333,353,358,339,363,376,385,383,404,412,421,436,441,446,471,476,491,506,511,524,547,564,556,570,590,604,619,635,670,696,726,748,781,807,853,882,878,946,1010,1060,1020,1040
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3290,3190,3500,2710,3320,3620,4020,4410,4830,6160,7630,7740,7840,7230,7520,7390,7360,7350
New Zealand,,,,,,,,,,,,,,,,,,22.5k,22.5k,23.1k,23.4k,24.4k,24.4k,24.9k,25.9k,26.1k,26.8k,26.9k,26.7k,26.6k,26.4k,24.9k,24.9k,26.2k,27.2k,28k,28.6k,28.8k,28.8k,30.2k,30.9k,31.7k,32.7k,33.5k,34.3k,35.1k,35.6k,36.4k,35.7k,35.3k,35.4k,35.9k,36.5k,37.2k,38k,38.6k,39.2k,39.8k,40.4k,40.6k,39.2k,40.4k
Oman,,,,,,2690,2760,4490,7960,9760,10.8k,10.6k,11.4k,9470,10.2k,12.2k,14k,13.5k,12.3k,12.2k,12.2k,13.5k,14.3k,15.7k,17.3k,18.6k,17.8k,16.2k,16.2k,17.1k,16.3k,16.4k,17k,17.3k,17.4k,18k,18.2k,19k,19.2k,19k,20k,20.6k,20.1k,19.3k,19.3k,19.4k,20.1k,20.6k,21.9k,22.9k,21.8k,20.1k,19.9k,19.4k,18.7k,18.8k,18.8k,18.3k,18.3k,18k,17.7k,18.3k
Pakistan,371,384,392,416,437,470,485,498,519,533,578,565,555,578,581,588,600,605,633,634,671,693,708,729,743,773,788,809,841,853,862,877,920,913,920,937,953,935,932,939,949,953,952,986,1040,1080,1120,1150,1140,1150,1140,1150,1170,1200,1240,1280,1340,1380,1440,1450,1410,1470
Panama,2720,2930,3080,3240,3290,3480,3630,3830,3980,4190,4360,4650,4730,4850,4840,4790,4750,4690,5030,5130,5670,6050,6220,5810,5830,5980,6060,5820,4930,4900,5190,5560,5890,6080,6130,6110,6230,6500,6840,6970,7020,6930,6940,7100,7490,7870,8390,9230,9950,9900,10.3k,11.2k,12.1k,12.7k,13.2k,13.7k,14.1k,14.6k,14.9k,15.1k,12.2k,13.9k
Peru,2700,2820,3010,3050,3160,3240,3410,3440,3340,3370,3390,3460,3480,3600,3840,3910,3870,3780,3590,3650,3770,3880,3780,3300,3340,3330,3560,3820,3380,2900,2700,2700,2630,2710,2990,3150,3170,3320,3250,3240,3280,3260,3390,3500,3640,3830,4080,4400,4760,4780,5140,5420,5700,5980,6060,6180,6340,6400,6530,6550,5750,6440
Philippines,1100,1130,1150,1200,1200,1230,1250,1290,1310,1340,1360,1390,1430,1520,1530,1580,1670,1720,1760,1810,1850,1870,1890,1880,1700,1550,1570,1600,1670,1730,1740,1690,1660,1660,1690,1730,1780,1830,1780,1790,1830,1850,1880,1930,2020,2080,2150,2250,2300,2290,2420,2460,2590,2720,2840,2970,3130,3290,3440,3590,3200,3330
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4k,12.1k,12.5k,12.1k,12.6k,13.2k,13.3k,13.7k,13.1k,12.4k,12.6k,13.7k,14.2k,13.8k,14.7k,15.8k,15.7k,15.1k,15.1k,15.1k,13.7k,11.8k
Papua New Guinea,1320,1370,1420,1450,1540,1660,1720,1750,1780,1890,2040,2120,2190,2280,2280,2210,2090,2060,2190,2190,2100,2050,2010,2030,1980,2020,2070,2080,2100,2020,1910,2020,2220,2530,2590,2410,2510,2320,2160,2120,2000,1930,1860,1840,1830,1890,1930,2010,1950,2020,2150,2120,2150,2180,2410,2500,2580,2600,2540,2590,2460,2410
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5110,4740,4840,5010,5260,5630,5970,6350,6640,6950,7340,7440,7590,7860,8260,8550,9080,9730,10.1k,10.4k,10.8k,11.3k,11.5k,11.6k,12k,12.6k,12.9k,13.6k,14.4k,15.1k,14.8k,15.9k
Puerto Rico,6310,6630,7040,7480,7850,8450,8970,9460,9880,10.7k,11.5k,12k,12.6k,13.1k,13.2k,12.9k,13.5k,14.1k,14.9k,15.9k,16.3k,16.3k,15.9k,15.4k,16.1k,16.5k,17.1k,17.9k,18.8k,19.5k,18.7k,19k,19.8k,20.5k,21.2k,21.9k,22.2k,23.1k,24.2k,25.4k,26.1k,27.7k,27.9k,27.9k,30.4k,29.8k,29.5k,29.3k,29k,28.6k,28.6k,28.8k,29.2k,29.4k,29.6k,29.8k,30k,29.8k,29.7k,30.2k,28.1k,28.3k
Portugal,3930,4120,4360,4600,4890,5270,5530,5980,6540,6740,7660,8200,8870,9860,9840,9060,9410,9830,10k,10.5k,10.8k,10.9k,11.1k,11k,10.7k,11k,11.5k,12.2k,13.1k,14k,14.6k,15.2k,15.4k,15.1k,15.2k,15.8k,16.3k,16.9k,17.6k,18.2k,18.8k,19k,19.1k,18.8k,19.1k,19.2k,19.5k,20k,20k,19.3k,19.7k,19.4k,18.7k,18.6k,18.8k,19.3k,19.7k,20.4k,21.1k,21.6k,19.8k,20.8k
Paraguay,1500,1560,1580,1610,1640,1700,1690,1800,1840,1880,1940,2000,2090,2180,2310,2410,2530,2750,3000,3270,3560,3790,3630,3420,3420,3480,3550,3720,3830,3980,4040,4070,4030,4130,4240,4420,4390,4470,4380,4230,4060,3950,3900,4020,4130,4170,4330,4520,4760,4700,5160,5320,5210,5560,5770,5860,6030,6230,6340,6230,6100,6260
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2140,2190,2120,2320,2590,2730,2440,2150,1840,2040,2430,2630,2540,2570,2690,2840,2930,3130,3240,3310,3230,3270,3480,3460,3420,3380,2920,3050
French Polynesia,,,,,,24.6k,26k,23.9k,26.5k,24.9k,24.5k,26.4k,24.3k,25.4k,28.9k,26.6k,27.9k,27.6k,29.4k,29.6k,28.9k,28.7k,28.3k,28.2k,28.2k,27.2k,30.2k,29.8k,28k,28k,27.4k,27.8k,26.9k,26.1k,25.2k,24.7k,24.1k,23.7k,23.8k,23.8k,24.2k,23.7k,23.5k,23.7k,23.5k,23.3k,22.5k,22.3k,21.3k,20.4k,19.3k,18.2k,17.7k,17.7k,17.8k,18.3k,18.8k,19k,19.4k,19.7k,17.6k,17.7k
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.2k,51.6k,52.6k,52k,59.6k,58.8k,62k,60.3k,60.5k,60.7k,68.3k,73.5k,72.9k,72k,69.7k,67k,64.2k,60.6k,60.1k,59.7k,58.5k,61k
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5020,4410,4060,4120,4290,4570,4760,4540,4460,4450,4570,4870,5250,5410,6010,6330,6870,7480,8310,7920,7660,8040,8230,8290,8660,8980,9290,10.1k,10.8k,11.3k,10.9k,11.5k
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8110,7850,7430,6350,5800,5070,4860,4690,4760,4520,4820,5320,5620,5910,6370,6860,7320,7950,8640,9090,8380,8760,9120,9480,9620,9520,9310,9310,9470,9740,9960,9710,10.2k
Rwanda,342,318,346,305,261,272,283,294,305,328,337,331,322,324,319,303,352,349,370,402,423,430,422,431,399,403,410,395,400,389,371,353,366,326,190,305,291,290,306,315,337,361,401,401,420,447,476,498,539,558,584,614,651,666,690,733,758,769,815,871,822,890
Saudi Arabia,,,,,,,,,13.2k,13.4k,20.4k,23.5k,27.4k,32.3k,35.6k,30.7k,34.3k,34.9k,31.5k,33.5k,33.7k,32.7k,24.7k,19.8k,18k,15.5k,17.4k,15.5k,16.8k,16k,17.7k,19.6k,19.6k,18.7k,18.3k,17.8k,17.8k,17.5k,17.6k,16.5k,17k,16.4k,15.5k,16.9k,17.8k,18.2k,18k,17.6k,18k,17k,17.3k,18.6k,19.2k,19.3k,19.6k,20k,19.9k,19.3k,19.3k,19k,18.1k,18.7k
Sudan,1410,1370,1430,1350,1300,1350,1270,1250,1240,1230,1270,1260,1160,1130,1220,1360,1530,1560,1410,1290,1260,1300,1330,1310,1220,1120,1160,1300,1290,1400,1300,1370,1440,1480,1460,1510,1560,1800,1830,1850,1910,1970,2040,2110,2160,2210,2290,2340,2360,2220,2240,2380,2220,2210,2250,2230,2230,2180,2050,1950,1830,1750
Senegal,1170,1180,1140,1130,1140,1120,1120,1080,1110,1010,1060,1030,1070,977,989,1030,1100,1040,979,1020,1040,1060,1120,1030,1040,1050,1050,1080,1040,1050,1020,1010,998,984,958,985,981,987,1020,1060,1080,1100,1070,1100,1130,1150,1140,1140,1160,1160,1160,1150,1160,1160,1200,1240,1280,1340,1380,1410,1390,1440
Singapore,3610,3780,3950,4240,4000,4210,4530,4980,5560,6240,7000,7720,8590,9330,9730,9970,10.6k,11.1k,11.9k,12.8k,14k,14.7k,15.1k,16.2k,17.3k,17.1k,17.4k,19k,20.6k,22k,23.3k,24.1k,25k,27.1k,29.2k,30.4k,31.3k,32.8k,31k,32.6k,34.9k,33.6k,34.6k,36.7k,39.9k,41.8k,44.2k,46.2k,44.6k,43.3k,48.8k,50.7k,51.7k,53.3k,54.7k,55.6k,56.9k,59.5k,61.4k,61.3k,59k,66.2k
Solomon Islands,,,,,,,,,,,,,,,,,,,,,2250,2140,2030,2040,1980,1850,1790,1880,1840,1860,1850,1900,2080,2100,2210,2360,2330,2240,2210,2140,1790,1610,1530,1590,1670,1760,1790,1810,1880,1900,2030,2130,2130,2180,2150,2130,2200,2210,2220,2200,2080,2030
Sierra Leone,501,501,514,514,538,566,564,553,554,589,628,637,631,633,643,641,627,615,618,633,650,655,673,644,656,608,600,626,566,556,553,559,461,468,457,419,424,394,397,387,403,356,426,447,461,469,478,505,519,521,534,553,620,730,744,577,597,607,614,631,604,615
El Salvador,,,,,,2650,2770,2840,2860,2880,2900,2940,3040,3120,3200,3220,3310,3460,3570,3360,2780,2590,2400,2390,2380,2350,2310,2320,2320,2290,2360,2360,2480,2590,2680,2780,2780,2840,2900,2940,2960,2970,3000,3040,3070,3150,3290,3340,3400,3320,3370,3490,3570,3640,3690,3760,3850,3920,4010,4100,3760,4130
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.8k,51.6k,55.4k,55.8k,57.8k,56.6k,57.5k,59.1k,59.7k,61.1k,64.5k,63.5k,56.3k,52.3k,46.6k,42.5k,42k,41.6k,42.3k,42.9k,42.8k,43.3k,44.1k,41.4k,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,348,388,405,399,414,428,424,428
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2780,2960,3180,3300,3000,3190,3420,3640,3810,4160,4400,4650,4970,5270,5150,5210,5350,5340,5520,5460,5590,5810,5960,6260,6570,6550,7110
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2290,2300,2300,2080,1070,1170,1200,1070,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1070,1080,1140,1150,1190,1270,1280,1330,1330,1390,1420,1430,1470,1540,1570,1610,1640,1670,1680,1700,1690
Suriname,3870,3920,3930,3990,4100,4440,5120,5550,5770,5830,5790,5830,5720,5630,5680,5870,6440,7160,7710,7760,7120,7610,7260,6940,6750,6800,6760,6270,6670,6850,6470,6590,6560,6080,6230,6110,6050,6260,6280,6080,6100,6240,6310,6600,7070,7310,7640,7940,8180,8330,8660,9070,9210,9390,9320,8910,8380,8430,8750,8760,7280,7010
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6650,6760,7150,7540,8020,8480,8820,8800,8910,9220,9640,10.2k,10.7k,11.4k,12.4k,13.7k,14.5k,13.7k,14.6k,15k,15.1k,15.2k,15.6k,16.4k,16.7k,17.2k,17.8k,18.2k,17.6k,18.2k
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3k,13.7k,14.4k,14.9k,15.7k,16.2k,16.7k,17.3k,17.8k,18.6k,19.2k,20.3k,21.6k,22.3k,20.4k,20.6k,20.7k,20.2k,19.9k,20.5k,20.9k,21.5k,22.6k,23.5k,24.1k,22.9k,24.7k
Sweden,16.5k,17.4k,18k,18.9k,20k,20.6k,20.8k,21.4k,22k,22.9k,24.4k,24.4k,24.9k,25.9k,26.6k,27.2k,27.4k,26.9k,27.2k,28.2k,28.7k,28.8k,29.1k,29.6k,30.9k,31.5k,32.2k,33.2k,33.9k,34.6k,34.6k,33.9k,33.4k,32.5k,33.5k,34.6k,35.1k,36.2k,37.7k,39.3k,41.1k,41.6k,42.4k,43.2k,44.9k,46k,47.9k,49.1k,48.5k,46k,48.4k,49.5k,48.9k,49k,49.9k,51.5k,52k,52.6k,53k,53.5k,52k,54.3k
Eswatini,,,,,,,,,,,946,1050,1070,1140,1170,1300,1230,1200,1180,1180,1280,1430,1400,1370,1410,1410,1520,1680,1710,1860,2170,2120,2110,2110,2160,2260,2300,2330,2360,2400,2410,2410,2490,2570,2650,2790,2940,3050,3060,3100,3200,3250,3410,3520,3530,3580,3590,3640,3700,3770,3670,3920
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.4k,33.6k,35.8k,35k,33.6k,33.1k,32.3k,31.5k,29.2k,27.1k,,,
Seychelles,3230,2990,3150,3390,3500,3380,3750,3680,3860,3770,4010,4550,4720,5070,5050,5090,5800,5330,6420,7370,6990,6340,6230,6130,6370,7020,6960,6970,7320,8090,8610,8730,9310,9690,9360,9150,9460,10.5k,11.1k,11.1k,11.2k,10.9k,10.7k,10.2k,9940,10.8k,11.6k,12.7k,12.2k,12k,12.3k,13.7k,13.7k,14.3k,14.7k,15.2k,15.8k,16.3k,16.6k,17k,15.6k,16.6k
Syria,524,564,681,604,640,634,568,595,597,686,652,686,833,721,877,986,1070,1010,1080,1050,1160,1210,1210,1190,1060,1120,1000,983,1120,939,945,987,1080,1120,1170,1210,1300,1330,1380,1300,1270,1250,1270,1330,1380,1430,1440,1420,1430,1490,1540,1550,1150,891,856,857,813,806,803,781,727,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.2k,24k,23.2k,24.2k,25.8k,26.4k,24.7k,25.1k,25.4k,18.1k,18.2k
Chad,560,557,576,556,531,524,506,500,489,512,512,490,485,434,446,476,481,483,472,364,341,345,346,381,384,463,431,407,454,460,429,449,465,383,413,400,391,399,413,396,379,410,429,473,605,682,663,662,659,663,728,703,739,754,778,774,703,660,653,653,622,596
Togo,324,358,365,377,422,475,502,510,514,548,542,525,550,556,569,569,545,569,617,571,636,597,557,509,520,532,524,511,529,534,517,499,466,398,456,470,493,546,518,515,497,488,493,513,495,460,459,440,445,457,472,489,508,525,542,559,576,586,601,618,614,632
Thailand,598,612,638,669,693,727,784,827,869,899,974,993,1010,1080,1100,1130,1200,1290,1390,1440,1480,1530,1580,1640,1700,1740,1810,1940,2160,2390,2610,2790,2970,3170,3370,3600,3750,3600,3280,3400,3510,3600,3790,4020,4240,4390,4570,4780,4830,4760,5080,5090,5430,5540,5560,5710,5880,6100,6340,6460,6040,6120
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,1410,1410,1350,1500,1350,1310,1190,827,684,530,455,372,373,390,403,430,462,501,545,590,618,649,687,728,741,774,814,856,899,937,970,1010,1060,1120,1170,1200,1280
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,2660,2880,2680,3530,3280,2720,2680,2170,1970,2060,1800,1900,2180,2260,2330,2300,2350,2430,2710,2970,3250,3670,3840,4120,4640,5070,5480,5940,6210,6480,6780,7090,7420,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,948,1080,994,954,938,943,881,948,1030,1110,1190,1230,1270,1280,1310,1320,1350,1290,1260,1530,1990,2060
Tonga,,,,,,,,,,,,,,,,,,,,,,2290,2400,2450,2490,2650,2710,2780,2710,2710,2640,2810,2810,2900,3040,3260,3310,3330,3390,3500,3510,3620,3770,3830,3720,3700,3680,3670,3840,3630,3650,3890,3930,3950,4050,4120,4410,4560,4590,4630,4640,4480
Trinidad and Tobago,4290,4800,4830,5010,5300,5250,5380,5420,5630,5720,5860,5860,6120,6130,6280,6290,6610,7120,7730,7890,8590,8870,9090,8060,7510,7110,6780,6390,6080,5970,6010,6150,6720,6630,6830,7060,7530,8070,8690,9360,9970,10.3k,11.1k,12.6k,13.5k,14.3k,16.1k,16.8k,17.2k,16.4k,16.8k,16.7k,17.6k,18.2k,18.7k,18.4k,17k,16.1k,15.7k,15.6k,14.4k,14.2k
Tunisia,,,,,,1090,1100,1080,1160,1180,1210,1300,1490,1440,1520,1580,1660,1670,1730,1800,1890,1940,1880,1920,1980,2040,1960,2030,1990,1970,2090,2120,2240,2240,2270,2290,2420,2520,2600,2730,2830,2900,2910,3020,3180,3260,3400,3590,3710,3790,3860,3730,3840,3890,3970,3960,3960,4010,4070,4090,3700,3830
Turkey,2510,2470,2540,2690,2770,2780,3010,3070,3200,3250,3270,3380,3550,3580,3700,3890,4210,4260,4230,4110,3930,4040,4100,4200,4380,4470,4680,5020,5040,4960,5320,5260,5430,5740,5380,5700,6020,6380,6430,6120,6450,5990,6290,6570,7110,7650,8070,8380,8340,7840,8390,9210,9510,10.1k,10.4k,10.9k,11k,11.7k,11.9k,11.9k,12.1k,13.3k
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2350,2390,2430,2510,2760,2610,2450,2690,3110,3060,3030,3030,3320,3160,3050,2870,2910,3080,3250,3000,2900,3050,2940,3050,3060,3380,3580,3660,3710,4180,4200,4280
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,517,539,536,526,516,504,506,519,526,532,543,552,569,594,617,646,675,699,726,747,767,794,831,844,874,905,929,959,990,1010,1040,1030,1040
Uganda,,,,,,,,,,,,,,,,,,,,,,,359,370,359,338,329,332,348,358,369,377,377,395,406,441,468,478,487,509,509,519,547,565,586,605,651,685,723,750,770,818,825,830,847,864,876,872,896,922,918,921
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,3160,3220,3330,3110,2840,2550,2180,1690,1500,1360,1330,1320,1330,1420,1560,1660,1830,2070,2140,2320,2530,2600,2220,2320,2450,2460,2470,2350,2120,2190,2250,2340,2430,2350,2450
Uruguay,6160,6230,6060,6000,6080,6080,6200,5920,5980,6290,6400,6350,6230,6210,6350,6700,6910,6970,7300,7720,8130,8220,7390,6600,6490,6550,7090,7610,7680,7710,7690,7910,8490,8670,9240,9060,9510,10.3k,10.7k,10.4k,10.2k,9750,8980,9040,9490,10.2k,10.6k,11.3k,12k,12.5k,13.5k,14.1k,14.6k,15.2k,15.6k,15.7k,15.9k,16.1k,16.1k,16.2k,15.2k,15.9k
USA,19.1k,19.3k,20.1k,20.7k,21.6k,22.7k,23.9k,24.2k,25.1k,25.7k,25.3k,25.8k,26.9k,28.1k,27.7k,27.4k,28.6k,29.6k,30.9k,31.5k,31.2k,31.6k,30.8k,31.9k,33.9k,35k,35.9k,36.8k,38k,39k,39.3k,38.7k,39.6k,40.1k,41.2k,41.8k,42.9k,44.3k,45.7k,47.4k,48.7k,48.7k,49.1k,50k,51.5k,52.8k,53.7k,54.3k,53.9k,52k,53k,53.4k,54.2k,54.8k,55.7k,56.8k,57.3k,58.2k,59.6k,60.7k,58.5k,61.9k
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,1470,1560,1570,1570,1520,1320,1260,1170,1140,1140,1180,1210,1250,1280,1310,1350,1390,1480,1560,1660,1790,1920,2040,2130,2230,2350,2490,2610,2750,2870,2940,3050,3160,3160,3330
St. Vincent and the Grenadines,1890,1940,1980,1830,1860,1850,1820,1620,1700,1730,1890,1920,2390,2100,1900,1740,1900,2140,2330,2390,2440,2530,2630,2670,2830,2990,3140,3140,3580,3620,3760,3790,4020,4180,4110,4420,4480,4630,4830,4970,5060,5150,5440,5820,6080,6270,6740,7000,7070,7000,6720,6710,6830,7040,7160,7390,7730,7890,8150,8210,7800,7930
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2k,43k,44.5k,46k,47.7k,49.6k,50.2k,46.9k,47.2k,43.3k,36.9k,34.7k,34.1k,34k,34.6k,34.4k,35.2k,36.3k,35.6k,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,588,596,599,606,624,655,673,698,743,788,842,906,975,1040,1080,1120,1180,1240,1310,1390,1470,1570,1660,1770,1850,1930,2030,2140,2230,2330,2450,2600,2740,2900,3090,3290,3350,3410
Vanuatu,,,,,,,,,,,,,,,,,,,,2890,2500,2550,2540,2550,2730,2690,2620,2480,2380,2350,2570,2580,2580,2540,2700,2660,2660,2730,2700,2640,2730,2570,2380,2420,2450,2520,2670,2680,2760,2780,2750,2770,2730,2680,2700,2640,2700,2800,2820,2840,2620,2570
Samoa,,,,,,,,,,,,,,,,,,,,,,,2340,2350,2390,2480,2620,2630,2580,2670,2550,2480,2460,2540,2450,2580,2740,2730,2760,2790,2910,3100,3250,3410,3500,3720,3790,3780,3890,3840,4050,4170,3980,3940,3930,4050,4330,4350,4280,4420,4220,3860
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1790,1830,1910,1910,1960,2000,2030,2080,2140,2160,2230,2250,2280,2300,2330,2390,2400,2400,2420,2440,2550,2160,2150,2190,2120,1490,1310,1220,1190,,,
South Africa,3970,4010,4140,4310,4510,4640,4700,4880,4930,5010,5120,5180,5120,5200,5370,5310,5280,5140,5150,5210,5410,5550,5390,5150,5270,5050,4890,4820,4850,4800,4640,4480,4290,4270,4330,4390,4510,4570,4530,4590,4740,4820,4950,5050,5230,5460,5710,5950,6070,5910,6020,6130,6190,6260,6250,6200,6190,6230,6250,6190,5730,5950
Zambia,1200,1180,1110,1110,1210,1370,1250,1310,1280,1240,1260,1220,1300,1250,1290,1230,1270,1170,1140,1080,1080,1110,1040,992,958,945,924,921,952,918,890,868,832,868,774,777,805,815,791,806,815,833,844,875,907,941,981,1030,1070,1130,1200,1220,1270,1290,1310,1310,1320,1320,1330,1310,1240,1260
Zimbabwe,1140,1170,1150,1190,1140,1160,1140,1200,1180,1290,1530,1620,1700,1690,1740,1650,1610,1460,1400,1420,1540,1620,1600,1570,1480,1530,1520,1480,1550,1580,1650,1700,1500,1500,1630,1610,1750,1770,1790,1750,1680,1690,1530,1260,1180,1110,1060,1010,825,914,1100,1240,1410,1420,1410,1410,1390,1420,1460,1340,1210,1290
